Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Regenbogenschule Döbeln, Schule für geistig Behinderte;SN-4220521;Schule für geistig Behinderte;;;;;;Jugendamt Döbeln/ ASD;Keine Angabe;Amt;Öffentliche Infrastruktur
Samuel-von-Pufendorf-Gymnasium;SN-4240180;Gymnasium;;;;;;Amt für Jugend und Familie;Keine Angabe;Amt;Öffentliche Infrastruktur
Schiller-Gymnasium Bautzen;SN-4140042;Gymnasium;;;;;;Gesundheitsamt (\Arbeitsgruppe Gesundheitserziehung\;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leubnitzbach ", Schu""e "Am Leubnitzbach ", S"" "Am Leubnitzbach ","""Am Leubnitzbach """Am Leubnitzbach """"""chule Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leubnitzbach ", Schu""e "Am Leubnitzbach ", S"" "Am Leubnitzbach ","""Am Leubnitzbach ""hule Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leubnitzbach ", Schu""e "Am Leubnitzbach ", S"" "Am Leubnitzbach""ule Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leubnitzbach ", Schu""e "Am Leubnitzbach ",""le Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leubnitzbach ", Schu""e""e Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Schule f""le "Am Leub"" Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Leubnitzbach ", Sch""Am Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule für Er""ule "Am Le""m Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzbach ", Schule fü"" Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule "Am Leubnitzba""Leubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Erziehun""hule ""eubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", Schule für Er""ubnitzbach ", Schule für Erziehungshilfe""chule "Am Leubnitzbach ", S""bnitzbach ", Schule für Erziehungshilfe""chule "Am Leubni""nitzbach ", Schule für Erziehungshilfe""chule ""itzbach ", Schule für Erziehungshilf""tzbach ", Schule für Erzieh""zbach ", Schule für""bach ", Schu""ach ",""c";SN-4320198;Schule für Erziehungshilfe;;;;;;Jugendamt Dresden;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule am Windberg-Grundschule;SN-4511572;Grundschule;;;;;;Gesundheitsamt Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule am Windberg-Grundschule;SN-4511572;Grundschule;;;;;;Jugendamt Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule für Erziehungshilfe Priestewitz;SN-4320537;Schule für Erziehungshilfe;;;;;;Jugendamt Meißen und Riesa;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Astrid Lindgren """chule für geistig"""chule für geistig Be";SN-4320206;Schule für geistig Behinderte;;;;;;Staatliches Seminar für das Lehramt an Grund- und Förderschulen;Ausbildung von Lehramtsanwärtern für das Lehramt an Förderschulen;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Astrid Lindgren """chule für geistig"""chule für geistig Be";SN-4320206;Schule für geistig Behinderte;;;;;;Staatliches Seminar für das Lehramt an Grund- und Förderschulen;Bereitstellung von Praktikumsstellen;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Max Kästner """chule für gei"""chule für geisti";SN-4220265;Schule für geistig Behinderte;;;;;;Landratsamt Mittelsachsen (Freiberg);Sehr gute Zusammenarbeit mit Schulen in der gleichen Trägerschaft;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Robinsonschule """chule für geisti"""chule für geistig B";SN-4320214;Schule für geistig Behinderte;;;;;;Jugendamt Dresden;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Wilhelm Pfeffer """chule für geistig"""chule für geistig Be";SN-4220299;Schule für geistig Behinderte;;;;;;Sozialamt;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Wilhelm Pfeffer """chule für geistig"""chule für geistig Be";SN-4220299;Schule für geistig Behinderte;;;;;;Integrationsfachdienst Chemnitz;Durchführung und Organisation von Schülerpraktika in Betrieben der Region;Amt;Öffentliche Infrastruktur
"Schule für geistig Behinderte Wilhelm Pfeffer """chule für geistig"""chule für geistig Be";SN-4220299;Schule für geistig Behinderte;;;;;;DRK Rochlitz;erste Hilfe (Ausbildung der Schüler);Amt;Öffentliche Infrastruktur
Schule für geistig Behinderte Hirschfeld;SN-4520235;Schule für geistig Behinderte;;;;;;Jugendamt Landkreis Zwickauer Land und Zwickau Stadt;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Grünau - Schule zur Lernförderung der Stadt Leipzig;SN-4420386;Schule zur Lernförderung;;;;;;Jugendarzt bzw. Amtsarzt;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Grünau - Schule zur Lernförderung der Stadt Leipzig;SN-4420386;Schule zur Lernförderung;;;;;;Arbeitskreis Schule-Wirtschaft;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Grünau - Schule zur Lernförderung der Stadt Leipzig;SN-4420386;Schule zur Lernförderung;;;;;;ASD Leipzig West;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Mölkau - Oberschule der Stadt Leipzig;SN-4430211;Mittelschule;;;;;;Stadtwerke Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Niederlungwitz Grundschule;SN-4511903;Grundschule;;;;;;Jugendamt des Landratsamtes Glauchau;Zusammenarbeit mit BeratungslehrerDurchführung von ElternabendenHilfe bei Bezahlung zusätzlicher Förderung;Amt;Öffentliche Infrastruktur
Schule Thonberg - Schule für geistig Behinderte der Stadt Leipzig;SN-4420410;Schule für geistig Behinderte;;;;;;ASD in der Stadt Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule Thonberg - Schule für geistig Behinderte der Stadt Leipzig;SN-4420410;Schule für geistig Behinderte;;;;;;Güterverkehrszentrum Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Adolf Tannert """chule zur Lernf"""chule zur Lernförd";SN-4320362;Schule zur Lernförderung;;;;;;Jugendamt;Kooperation bei Kindern mit Verhaltensproblemen , Anbahnung von Erziehungshilfen;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Albert Schweitzer " Roßwein""chule zur Lernförderung "Al""hu"""chule zur Lernförderung Albert Schweitzer ";SN-4220505;Schule zur Lernförderung;;;;;;Stadtverwaltung Roßwein#Bauhof;Betreuung eines Schülers im Typ II im Fach AL;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Albert Schweitzer " Roßwein""chule zur Lernförderung "Al""hu"""chule zur Lernförderung Albert Schweitzer ";SN-4220505;Schule zur Lernförderung;;;;;;Stadtverwaltung Roßwein# Stadtgärtnerei;Betreuung eines Schülers im Typ II im Fach AL;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Johann Heinrich Pestalozzi """chule zur Lernförderung "Joh""hul"""chule zur Lernförderung Johann Heinr";SN-4220117;Schule zur Lernförderung;;;;;;MOVE;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Kurt Krenz """chule zur Le"""chule zur Lernf";SN-4320339;Schule zur Lernförderung;;;;;;Jugendamt Pirna;Keine Angabe;Amt;Öffentliche Infrastruktur
"Schule zur Lernförderung Nikolaus Kopernikus """chule zur Lernförderu"""chule zur Lernförderung ";SN-4120168;Schule zur Lernförderung;;;;;;Jugendgerichtshilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule zur Lernförderung Großenhain;SN-4320396;Schule zur Lernförderung;;;;;;Kreisjugendamt Meißen;Keine Angabe;Amt;Öffentliche Infrastruktur
Schule zur Lernförderung Meißen;SN-4320412;Schule zur Lernförderung;;;;;;Freie Träger der Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Scultetus-Oberschule;SN-4130142;Mittelschule;;;;;;Jugendamt Kreis Görlitz;Keine Angabe;Amt;Öffentliche Infrastruktur
"Sorbische Grundschule Dr. Maria Grollmuß " Radibor""orbische Grundschule "Dr. Ma""rbisch"""orbische Grundschule Dr. Maria Grollmuß " Radib""rbisch";SN-4111324;Grundschule;;;;;;Forstamt Bautzen;Keine Angabe;Amt;Öffentliche Infrastruktur
Sportoberschule Chemnitz;SN-4230355;Mittelschule;;;;;;Jugendamt (ASD);Keine Angabe;Amt;Öffentliche Infrastruktur
Tännichtschule, Oberschule;SN-4531083;Mittelschule;;;;;;Kinderheime der Jugendhilfe in Meerane;Keine Angabe;Amt;Öffentliche Infrastruktur
Thomasschule - Gymnasium der Stadt Leipzig;SN-4440368;Gymnasium;;;;;;Jugendhilfe Südost;Keine Angabe;Amt;Öffentliche Infrastruktur
Turley-Oberschule Oelsnitz;SN-4231015;Mittelschule;;;;;;Jugendamt und Jugendberatungsstellen des Erzgebirgskreises;Keine Angabe;Amt;Öffentliche Infrastruktur
Turley-Oberschule Oelsnitz;SN-4231015;Mittelschule;;;;;;Arbeitskreis Schule-Wirtschaft der Landkreise Stollberg und Chemnitzer Land;Keine Angabe;Amt;Öffentliche Infrastruktur
Waldblick-Oberschule Freital/ Niederhäslich;SN-4330650;Mittelschule;;;;;;Kinder- und Jugendhilfeverbund Freital e.V.;Keine Angabe;Amt;Öffentliche Infrastruktur
Waldblick-Oberschule Freital/ Niederhäslich;SN-4330650;Mittelschule;;;;;;Jugendamt im Landratsamt des Weißeritzkreises;Keine Angabe;Amt;Öffentliche Infrastruktur
Wehrdigtschule, Oberschule;SN-4531075;Mittelschule;;;;;;Stadtverwaltung Glauchau;Keine Angabe;Amt;Öffentliche Infrastruktur
Weinholdschule, Oberschule;SN-4530150;Mittelschule;;;;;;Jugendhilfe;Probleme in Elternhäusern;Amt;Öffentliche Infrastruktur
Weinholdschule, Oberschule;SN-4530150;Mittelschule;;;;;;Jugendamt;Probleme in Elternhäusern;Amt;Öffentliche Infrastruktur
Weinholdschule, Oberschule;SN-4530150;Mittelschule;;;;;;Arbeitskreis Schule - Wirtschaft;Berufsorientierung;Amt;Öffentliche Infrastruktur
Werner-Heisenberg-Gymnasium Riesa;SN-4340378;Gymnasium;;;;;;Schule - Wirtschaft;Keine Angabe;Amt;Öffentliche Infrastruktur
Werner-Heisenberg-Gymnasium Riesa;SN-4340378;Gymnasium;;;;;;Koordinierungsstelle Wirtschaft und Bildung;Keine Angabe;Amt;Öffentliche Infrastruktur
Werner-von-Siemens-Gymnasium;SN-4340279;Gymnasium;;;;;;Jugendamt Großenhain#Jugendhäuser#;Keine Angabe;Amt;Öffentliche Infrastruktur
Wilhelm-Adolph-von-Trützschler- Oberschule Stadt Falkenstein;SN-4530051;Mittelschule;;;;;;Jugendamt Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Wilhelm-Adolph-von-Trützschler- Oberschule Stadt Falkenstein;SN-4530051;Mittelschule;;;;;;Umweltzentrum Oberlauterbach LRA Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Wilhelmine-Reichard-Schule;SN-4320255;Schule zur Lernförderung;;;;;;Jugend- und Sozialamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Wilhelmine-Reichard-Schule;SN-4320255;Schule zur Lernförderung;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Wolfgang-Rosenthal-Grundschule Thallwitz;SN-4411724;Grundschule;;;;;;Jugendhilfe Grimma;Keine Angabe;Amt;Öffentliche Infrastruktur
Zentralschule Adorf, Oberschule;SN-4530192;Mittelschule;;;;;;Landestalsperrenverwaltung;Keine Angabe;Amt;Öffentliche Infrastruktur
Gutenbergschule, Schule zur Lernförderung;SN-4120119;Schule zur Lernförderung;;;;;;JHA Niesky;Keine Angabe;Amt;Öffentliche Infrastruktur
Hans-Fallada-Schule, Schule für Erziehungshilfe;SN-4120184;Schule für Erziehungshilfe;;;;;;Jugendgerichtshilfe;Täter-Opferausgleich;Amt;Öffentliche Infrastruktur
Berufliches Schulzentrum Kamenz;SN-4150165; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;Arbeitskreis SchuleWirtschaft Kamenz/Königsbrück;aktive Teilnahme am AK durch SLMitwirkung des BSZ an Veranstaltungen des AK (Stammtisch Schule-Wirtschaft);Amt;Öffentliche Infrastruktur
Wehrdigtschule, Oberschule;SN-4531075;Mittelschule;;;;;;Stadtwerke Glauchau;Keine Angabe;Amt;Öffentliche Infrastruktur
Christian-Gottlob-Frege-Schule - Oberschule der Stadt Leipzig;SN-4431128;Mittelschule;;;;;;Arbeitsagentur;Keine Angabe;Agentur für Arbeit;Öffentliche Infrastruktur
Dinter-Oberschule Borna;SN-4430062;Mittelschule;;;;;;Arbeitsagentur;SchülerberatungBO-Messe;Agentur für Arbeit;Öffentliche Infrastruktur
Dr.-Salvador-Allende-Oberschule Bautzen;SN-4130522;Mittelschule;;;;;;Arbeitsagentur;Keine Angabe;Agentur für Arbeit;Öffentliche Infrastruktur
"Förderzentrum zur Lernförderung Anton Semjonowitsch Makarenko ", Schule zur Lernförderung""örderzentrum zur Lernförderung "Anton Semjonowitsch Makar""rderzentrum zur Lernförde"""örderzentrum zur Lernförderung Anton Semjonowitsch Makarenko ", Schule zur Lernförderung""örderzentrum zur Lernfö""rderzentrum zur Lernförderung Anton Semjonowitsch M";SN-4320131;Schule zur Lernförderung;;;;;;Arbeitsagentur Dresden;BerufsvorbereitungBerufseingliederungBegleitung BIZElternabendeBeratungTests;Agentur für Arbeit;Öffentliche Infrastruktur
Oberland-Gymnasium Seifhennersdorf;SN-4140224;Gymnasium;;;;;;Arbeitagentur;Berufsberatung;Agentur für Arbeit;Öffentliche Infrastruktur
Oberschule Altendorf;SN-4230389;Mittelschule;;;;;;Arbeitsagentur;Keine Angabe;Agentur für Arbeit;Öffentliche Infrastruktur
Oberschule Kötzschenbroda;SN-4330775;Mittelschule;;;;;;Arbeitsagentur im Unterricht;Keine Angabe;Agentur für Arbeit;Öffentliche Infrastruktur
Schule am Pulverturm, Schule zur Lernförderung Grimma;SN-4420212;Schule zur Lernförderung;;;;;;Zentrum für Ausbildung und Weiterbildung Leipzig;Zusammenarbeit in der Berufsorientierung der Klassen 8PotentialanalyseBetriebspraktikum für 2 Wochen;Ausbildungszentrum;Öffentliche Infrastruktur
"Schule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im Park " Freital, ""ule im Par"""chule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im Park " Freital""hule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für gei""hule im ""ule im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital, Schule für ""le im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park " Freital,""e im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chule im Park"" im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behinderte""chu""im Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geistig Behind""m Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für geisti"" Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schule für""Park " Freital, Schule für geistig Behinderte""Schule im Park " Freital, Schu""ark " Freital, Schule für geistig Behinderte""Schule im Park " Freital,""rk " Freital, Schule für geistig Behinderte""Schule im Park " Frei""k " Freital, Schule für geistig Behinderte""Schule im Park " F"" " Freital, Schule für geistig Behinderte""Schule im Park """" Freital, Schule für geistig Behinderte""Schule im Park "" Freital, Schule für geistig Behinderte""Schule im Park ""Freital, Schule ";SN-4320248;Schule für geistig Behinderte;;;;;;Internationaler Bund Freital;Praktikumsplätze für Schüler;Ausbildungszentrum;Öffentliche Infrastruktur
100. Schule - Grundschule der Stadt Leipzig;SN-4412300;Grundschule;;;;;;Lernförderschule Grünau;LB;Ausbildungszentrum;Öffentliche Infrastruktur
125. Schule - Oberschule der Stadt Leipzig;SN-4431151;Mittelschule;;;;;;Villa Sozialkulturelles Zentrum;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
"14. Grundschule Dresden Im Schweizer Viertel """4. Grundschule Dresden"""4. Grundschule Dresden Im";SN-4310702;Grundschule;;;;;;Zooschule;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
16. Schule - Oberschule der Stadt Leipzig;SN-4431201;Mittelschule;;;;;;DAA;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
"2. Grundschule Großenhain Bobersberg """. Grundschul""". Grundschule G";SN-4311841;Grundschule;;;;;;Sprachheilschule Sörnewitz;Wir sind Sprachintegrationsstandort;Ausbildungszentrum;Öffentliche Infrastruktur
"2. Oberschule Am Schacht " Großenhain"". Oberschule "Am Schach"" Oberschu""". Oberschule Am Schacht " Großenhain"". Oberschu"" Oberschule Am Schacht ";SN-4331203;Mittelschule;;;;;;Berufs- und Technologiezentrum Glaubitz;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;LSJ Sachsen;#NAME?;Ausbildungszentrum;Öffentliche Infrastruktur
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;BBZ Bautzen;#NAME?;Ausbildungszentrum;Öffentliche Infrastruktur
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;FAW Bautzen;#NAME?;Ausbildungszentrum;Öffentliche Infrastruktur
"4. Grundschule Dresden Am Rosengarten """. Grundschule Dr""". Grundschule Dresd";SN-4310496;Grundschule;;;;;;VHS;Durchführung verschiedener Kurse im Rahmen der Ganztagsangebote;Ausbildungszentrum;Öffentliche Infrastruktur
84. Schule - Oberschule der Stadt Leipzig;SN-4431367;Mittelschule;;;;;;Bildungs-und Technologiezentrum Borsdorf;Berufsorientierung durch zweiwöchigen fächerverbindenden Unterricht mit Einblicknahme in verschiedene Berufsfelder für Schüler der Klassenstufe 8;Ausbildungszentrum;Öffentliche Infrastruktur
94. Schule - Oberschule der Stadt Leipzig;SN-4431268;Mittelschule;;;;;;ZAW Leutsch;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
94. Schule - Oberschule der Stadt Leipzig;SN-4431268;Mittelschule;;;;;;Technikzentrum Borsdorf;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Adolph-Diesterweg-Schule - Schule zur Lernförderung der Stadt Leipzig;SN-4420469;Schule zur Lernförderung;;;;;;ZAW Leipzig;Unerstützung der beruflichen Orientierung;Ausbildungszentrum;Öffentliche Infrastruktur
Albert-Schweitzer-Gymnasium;SN-4540332;Gymnasium;;;;;;BA Glauchau;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Albert-Schweitzer-Schule, Schule zur Lernförderung;SN-4220554;Schule zur Lernförderung;;;;;;BSZ für Ernährung und Hauswirtschaft Schneeberg;BerufsorientierungBerufsberatung;Ausbildungszentrum;Öffentliche Infrastruktur
Alexander-von-Humboldt-Gymnasium;SN-4540183;Gymnasium;;;;;;VW Bildungsinstitut;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Firmenausbildungsring Neugersdorf;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Überbetriebliches Ausbildungszentrum;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Netz kleiner Werkstätten;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Zukunftswerkstatt Leipzig e.V.;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Arwed-Rossbach-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450227; Berufsschule;Fachoberschule;Berufliches Gymnasium;;;;Berufsakademie Sachsen;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Astrid-Lindgren-Schule, Schule für geistig Behinderte;SN-4120176;Schule für geistig Behinderte;;;;;;Internationaler Bund Löbau;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Berufliches Schulzentrum für Technik und Wirtschaft Pirna;SN-4350245; Berufsschule;Berufsfachschule;Fachoberschule;Berufliches Gymnasium;;;Freunde des Beruflichen Schulzenrums Pirna;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Berufliches Schulzentrum für Technik und Wirtschaft Riesa;SN-4350187; Berufsschule;Berufsfachschule;Fachoberschule;Berufliches Gymnasium;Berufsbildende Förderschule;;Management Akademie Riesa;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Berufliches Schulzentrum für Wirtschaft und Technik Bautzen;SN-4150140; Berufsschule;Fachschule;Fachoberschule;Berufliches Gymnasium;Berufsbildende Förderschule;;WITAJ- Sprachzentrum Bautzen;Keine Angabe;Ausbildungszentrum;Öffentliche Infrastruktur
Brücke-Schule, Schule für geistig Behinderte Wurzen;SN-4420303;Schule für geistig Behinderte;;;;;;BSZ Wurzen;Zusammenarbeit der Werkstufe mit dem KBVJ ( Schnuppertag BSZ , gemeinsame Arbeitseinsätze , gemeinsames Backen , gegenseitige Präsentation von Arbeitsergebnissen);Ausbildungszentrum;Öffentliche Infrastruktur
