Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
Karl-Heine-Schule - Berufliches Schulzentrum der Stadt Leipzig;SN-4450177; Berufsschule;Berufsfachschule;Fachschule;Fachoberschule;Berufliches Gymnasium;;IHK, HK;Keine Angabe;Kammer;Verband / Kammer / Innung / Gewerkschaft
"50. Grundschule Dresden Gertrud Caspari """0. Grundschule Dr"""0. Grundschule Dresd";SN-4310157;Grundschule;;;;;;FröbelKindertagesstätte Dörnichtweg, Darwinstraße;gemeinsame FesteRunder TischHospitationen der Lehrer in der KitaBesuch der Vorschüler in der SchuleABC - Club;Kindertagesstätte;Öffentliche Infrastruktur
"Grundschule Hermann C.J.Fölsch """rundschule "Hermann ""undschul"""rundschule Hermann C.J.Fölsch """""un";SN-4110334;Grundschule;;;;;;Kindertagesstätte See, Kindertagesstätte Sproitz;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Rosenthal-Bielatal;SN-4311510;Grundschule;;;;;;Kindertagesstätte Robies's Zwergenland , Rosenthal-Bielatal;Zusammenarbeit im Vorschuljahr (Hospitationen , Beratung , Förderung , Diagnostik usw.)Besuche der Kita-Kinder in der GrundschuleWeihnachtsprogramm der Grundschulkinder für die Kita-kinderZusammenarbeit mit dem Hort der Kita/Nutzungsmöglichkeit der GTA der Grundschule für alle Hortkinder;Kindertagesstätte;Öffentliche Infrastruktur
3. Schule - Grundschule der Stadt Leipzig;SN-4411864;Grundschule;;;;;;bbw Kindertagesstätte \Elefant, Tiger & Knirps\;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
39. Grundschule Dresden;SN-4310694;Grundschule;;;;;;Kita \Plauener Kobolde, Kita\ Villa Pat`s Freunde;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
88. Grundschule Dresden;SN-4310165;Grundschule;;;;;;Kita Lohmener Str., Kita \Am Elbhang\;Vorschularbeit;Kindertagesstätte;Öffentliche Infrastruktur
Astrid-Lindgren-Grundschule;SN-4211256;Grundschule;;;;;;Kindertagesstätte, \Triangel\;Vorschuljahr;Kindertagesstätte;Öffentliche Infrastruktur
Dinglingerschule Dresden, Schule zur Lernförderung;SN-4320057;Schule zur Lernförderung;;;;;;Heilpädagogischen Kindertageseinrichtung Rietschelstraße 13, Dresden;Keine Angabe;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Borna-West;SN-4410114;Grundschule;;;;;;Kita Neues Leben, Kita Regenbogenland;Vorschulunterricht , gemeinsame Sportstunden , Sichtung der neuen Schulanfänger , Einladen zu Veranstaltungen;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Döbeln-Ost;SN-4213005;Grundschule;;;;;;KITA \ Rößchengrund\, KITA\Sonnenschein\;Schuleingangsphase;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Großrückerswalde;SN-4210258;Grundschule;;;;;;Kunterbuntes Spatzennest,Hort;;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Hohendubrau;SN-4112090;Grundschule;;;;;;Kitas in Weigersdorf u. Gebelzig, Oberschule Mücka;Übergänge gestalten Was sind Basiskompetenzen Gemeinsame Fortbildungen;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Kleinolbersdorf;SN-4212403;Grundschule;;;;;;Kita Waldameisen Kleinolbersdorf,Bürgerverein Kleinolbersdorf/Altenhain e.V.;Kindertagesstätte;Öffentliche Infrastruktur;Öffentliche Infrastruktur
Grundschule Leppersdorf;SN-4110045;Grundschule;;;;;;Kitas in Leppersdorf und Lichtenberg,Schule zur Lernförderung Radeberg;;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Rosenthal-Bielatal;SN-4311510;Grundschule;;;;;;Kindertagestätte Johanniskäfer , Langenhennersdorf;Zusammenarbeit im Vorschuljahr (Hospitationen , Beratung , Förderung , Diagnostik usw.) Weihnachtsprogramm der Grundschulkinder für die Kita-kinder Zusammenarbeit mit dem Hort der Kita/Nutzungsmöglichkeit der GTA der Grundschule für alle Hortkinder;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Strehla;SN-4312237;Grundschule;;;;;;Hort Strehla, Kita Bummi Strehla;Gestaltung der Ganztagsangebote Gestaltung der Schuleingangsphase;Kindertagesstätte;Öffentliche Infrastruktur
Grundschule Strehla;SN-4312237;Grundschule;;;;;;Hort Strehla, Kita Bummi Strehla;;Kindertagesstätte;Öffentliche Infrastruktur
