Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Groneschule Berlin;Partnerschule;Partnerschule;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Humboldt-Universität Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;Medienzentrum Clip c/o Puma e.V. in der Bülowstraße 90;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;Musikschule Reinickendorf;Öffentliche Infrastruktur;Musikschule/musikalische Einrichtung;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;OTA-Ausbildungszentrum;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;ReCon+Ic+Bildungs- und Beratungsgesellschaft GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Loschmidt-Oberschule;BE-16688;Berufsschule mit sonderpäd. Aufgaben;Sasse Traffic Logistic GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Stiftung Kreisau für Europäische Verständigung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;Trapez e.V. (Schulsozialarbeit);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;TÜV Rheinland gGmbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Toulouse-Lautrec-Schule;BE-16155;Berufsschule mit sonderpäd. Aufgaben;Volkshochschule Reinickendorf;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Annedore-Leber-Oberschule;BE-16703;Berufsschule mit sonderpäd. Aufgaben;Wirtschaftspädagogik;Unbestimmt;Unklar;
Kläre-Bloch-Schule;BE-15948;Fachoberschule;Agentur für Arbeit Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Agentur für Arbeit);
Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design);BE-15777;Fachoberschule;Arbeit und Bildung e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Rahel-Hirsch-Schule (OSZ Gesundheit/Medizin);BE-15971;Fachoberschule;Arbeit und Bildung e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hans-Litten-Schule (OSZ Recht und Wirtschaft);BE-16693;Fachoberschule;Bauking AG;Wirtschaftsakteur;Wirtschaftsakteur;
Marcel-Breuer-Schule (OSZ Holztechnik, Glastechnik und Design);BE-15777;Fachoberschule;bbw Akademie für betriebswirtschaftliche Weiterbildung GmbH (Berliner Netzwerk für Ausbildung);Wirtschaftsakteur;Wirtschaftsakteur (Bildung);
Hans-Litten-Schule (OSZ Recht und Wirtschaft);BE-16693;Fachoberschule;Berliner Schachgesellschaft 127 Eckbauer e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Hans-Litten-Schule (OSZ Recht und Wirtschaft);BE-16693;Fachoberschule;Berliner Sparkasse;Wirtschaftsakteur;Wirtschaftsakteur;
Elinor-Ostrom-Schule (OSZ Bürowirtschaft und Dienstleistungen);BE-16597;Fachoberschule;Berliner Wasserbetriebe;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Sicherheit/Ordnung/Verkehr);
